StartLotKey,WaferId,P_02281_P,P_04928_P,P_05104_P,P_05844_P,P_06198_P,P_06199_P,P_08812_P,P_09320_P,P_09357_P,P_09360_P,P_09366_P,P_09851_P,P_10334_P,P_15926_P,P_16779_P,P_16780_P,P_16874_P,P_16875_P,P_16969_P,P_18071_P,P_00037_P,P_00065_P,P_00097_P,P_00125_P,P_00169_P,P_00863_P,P_00864_P,P_00881_P,P_00882_P,P_03186_P,P_03233_P,P_04800_P,P_05602_P,P_08907_P,P_09529_P,P_00862_P,P_07882_P,Label
4173913,3913-14,0.36,-3889.91,3199.8,0.653,96.797,97.091,0.383,0.188,86.979,86.758,88.214,-0.032,101.656,0.359,-32.487,-30.438,-700.758,-663.2,-85.796,470.8,15.482,36.552,31.104,16.781,32.938,285.157,223.82,0.029,0.072,21.59,24.307,6.054,618.95,-1581.5,-413.1,94162000000,831.9,Low
4143193,3193-23,0.364,-2847.78,3117.6,0.672,104.673,100.886,1.34,0.189,86.456,85.654,87.281,-0.013,95.609,0.348,-30.657,-29.168,-698.359,-671,30.265,454.2,15.765,38.405,222.479,16.073,233.944,340.939,205.939,0.814,0.917,21.452,24.317,5.101,604.7,-312.15,-419.9,53173800000,804.7,Low
4143193,3193-22,0.364,-3311.53,3117,0.663,100.667,102.264,0.813,0.213,84.954,85.505,88.687,-0.038,95.156,0.345,-32.538,-30.654,-704.672,-670.6,-86.755,457,15.971,43.565,34.745,16.624,34.34,338.83,204.039,0.65,0.847,21.477,24.43,5.128,591.45,-311.8,-422.1,51951400000,809.4,Low
4135643,5643-13,0.344,-5877.23,3212.6,0.593,95.574,94.229,0.436,0.171,85.273,84.804,86.25,-0.033,115,0.337,-33.258,-31.286,-726.768,-685.6,-92.046,521.9,15.413,41.213,31.018,16.263,33.311,304.08,217.888,0.308,0.429,21.507,24.261,6.653,636.8,-349.25,-429.4,79760700000,897.9,Low
4155473,5473-07,0.368,-3009.53,3248.8,0.685,99.431,97.872,0.18,0.199,86.397,85.659,87.911,-0.062,92.562,0.351,-33.081,-31.026,-712.626,-671.4,-90.215,453.1,15.727,37.476,32.744,16.739,34.313,288.223,203.289,0.129,-0.04,21.612,24.374,6.176,618.8,-383.7,-421.1,3.22841E+11,804.3,Low
4155473,5473-15,0.364,-3444.31,3283.2,0.686,100.243,98.633,0.316,0.216,86.914,85.383,88.775,-0.06,92.141,0.349,-33.018,-31.202,-715.025,-674.8,-89.621,448.2,15.309,33.036,30.772,15.498,30.496,285.028,207.768,0.216,0.06,21.729,24.437,6.103,610.65,-382.1,-423.2,2.29819E+11,798,Low
4140223,0223-20,0.348,-4426.86,3091.2,0.658,99.26,98.578,0.285,0.19,85.897,85.753,87.07,-0.042,103.266,0.339,-33.03,-31.286,-721.465,-682.8,-89.76,478.1,16.052,37.139,33.404,15.305,34.457,380.353,212.225,0.35,0.33,20.919,24.225,5.403,621.55,-338,-434.9,86365100000,838,Low
4173913,3913-01,0.33,-4274.74,3191.6,0.645,98.16,95.457,0.57,0.198,87.578,86.9,88.104,-0.056,101.016,0.359,-31.907,-30.072,-694.949,-656,-83.308,477.2,15.928,36.19,30.779,16.272,31.011,280.836,228.186,0.492,0.812,21.095,24.242,6.168,593.4,-343.65,-412.9,90395500000,837.8,Low
4135643,5643-06,0.344,-6175.03,3260.2,0.58,98.548,94.046,0.36,0.17,86.003,85.509,86.694,-0.021,117.344,0.338,-33.409,-31.04,-730.051,-681.2,-92.273,525.2,15.434,35.822,30.795,16.001,32.407,306.745,214.583,0.129,0.225,21.49,24.28,5.774,659.6,-356.55,-428.3,56262800000,900.6,Low
4155473,5473-25,0.374,-2996.81,3256.2,0.695,100.189,97.011,0.318,0.21,85.899,85.005,87.718,-0.071,92.562,0.346,-32.626,-31.044,-706.692,-673,-87.033,450.7,15.32,34.151,31.791,15.367,31.906,371.714,207.166,0.354,0.28,21.775,24.421,6.281,594.85,-370.6,-422.5,2.29819E+11,802.1,Low
